Sample1,1.326,0.717,0.729,5,0.005
Sample2,1.564,0.81,0.83,10,0.008
Sample3,1.527,1.067,0.952,20,
Sample4,1.305,1.388,1.385,40,
Sample5,1.47,2.07,2.057,80,
Sample6,1.606,2.152,2.151,160,
Sample7,1.332,,,,
Sample8,0.781,,,,
Sample9,1.401,,,,
Sample10,0.988,,,,
Sample11,1.08433,,,,
Sample12,1.656,,,,
Sample13,1.592,,,,
Sample14,0.832,,,,
Sample15,1.516,,,,
Sample16,1.87,,,,
Sample17,1.396,,,,
Sample18,0.979355,,,,
Sample19,1.080625,,,,
Sample20,1.654,,,,
Sample21,1.584,,,,
Sample22,0.818,,,,
Sample23,1.508,,,,
Sample24,1.87,,,,
Sample25,0.803,,,,
Sample26,1.024,,,,
Sample27,1.471,,,,
Sample28,1.552,,,,
Sample29,1.43,,,,
Sample30,1.35,,,,
Sample31,1.172,,,,
Sample32,0.96,,,,
Sample33,0.797,,,,
Sample34,1.021,,,,
Sample35,1.472,,,,
Sample36,1.551,,,,
Sample37,1.438,,,,
Sample38,1.347,,,,
Sample39,1.174,,,,
Sample40,0.965,,,,
Sample41,1.589,,,,
Sample42,0.839,,,,
Sample43,0.759,,,,
Sample44,1.42,,,,
Sample45,1.494,,,,
Sample46,1.631,,,,
Sample47,1.572,,,,
Sample48,1.534,,,,
Sample49,1.593,,,,
Sample50,0.837,,,,
Sample51,0.756,,,,
Sample52,1.427,,,,
Sample53,1.501,,,,
Sample54,1.634,,,,
Sample55,1.57,,,,
Sample56,1.527,,,,
Sample57,1.241,,,,
Sample58,1.562,,,,
Sample59,1.039,,,,
Sample60,1.424,,,,
Sample61,1.427,,,,
Sample62,1.695,,,,
Sample63,1.595,,,,
Sample64,1.585,,,,
Sample65,1.246,,,,
Sample66,1.564,,,,
Sample67,1.043,,,,
Sample68,1.425,,,,
Sample69,1.429,,,,
Sample70,1.694,,,,
Sample71,1.59,,,,
Sample72,1.584,,,,
